gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chromatin_change,change_score,combined_score
MIER2,298.947121683334,0.903249897243188,0.381091548567069,2.37016512341843,0.0177801425376801,0.22621117997406,Het-Tx,4,2.451624948621594
FAM221A,130.423705642693,-1.51211072087009,0.637742365534832,-2.37103696192739,0.0177382570943291,0.22621117997406,Tx-Het,-4,-2.756055360435045
STMN3,335.0283587222,2.16486094460717,0.919650005410954,2.35400525403116,0.0185723485739351,0.229275575379466,ReprPCWk-Tx,2,2.082430472303585
MRTFA,816.447941379931,0.428037069665521,0.182148575146452,2.34993366992506,0.0187767567832595,0.229660529268948,Het-Tx,4,2.2140185348327606
PARP8,531.235346506747,-1.09520552559915,0.470774082707545,-2.32639298939385,0.0199975952845875,0.23644697703293,Tx-Het,-4,-2.547602762799575
CNTNAP1,75.0264180045202,1.36168077744401,0.586515412508887,2.32164534537849,0.020252040109049,0.237848899582303,ReprPC-Tx,3,2.180840388722005
APOL6,10081.3232391193,-1.05302205639904,0.453383598144439,-2.32258524725803,0.0202014440053834,0.237848899582303,Tx-Het,-4,-2.5265110281995202
SEL1L3,894.564014765389,-1.29967982761022,0.561738325348802,-2.31367483570434,0.0206855652501402,0.239945428045136,Tx-ReprPCWk,-2,-1.6498399138051099
SF3A2,1373.05661440966,0.59710808554204,0.259040402186382,2.30507704783602,0.021162258688907,0.242137005225199,ReprPC-Tx,3,1.79855404277102
IPCEF1,67.2326686960415,-1.29893812244091,0.564489328326703,-2.30108534786885,0.0213868073594645,0.243739601932497,Tx-ReprPCWk,-2,-1.649469061220455
AATF,1671.81765246952,0.573194602492797,0.249401751203169,2.29827817859169,0.0215459616049386,0.244449828433559,Het-Tx,4,2.2865973012463985
SYT7,5196.70540951226,-1.44687413841832,0.632570341809694,-2.28729366963208,0.0221786877411717,0.247594582052495,Tx-ReprPCWk,-2,-1.7234370692091598
AMH,7.66405065903934,1.71936449534527,0.754278490119277,2.2794823369196,0.0226384087687954,0.249054686355477,ReprPCWk-Tx,2,1.8596822476726351
GLYAT,9272.34407258251,-1.65571209598505,0.725425513345349,-2.28240124661403,0.0224656618124212,0.249054686355477,Tx-Het,-4,-2.827856047992525
SPON2,7126.30250106648,1.56538955593493,0.68636637035812,2.2806909305859,0.0225667422212294,0.249054686355477,ReprPCWk-Tx,2,1.782694777967465
ACACA,1774.39682697174,1.03890254874234,0.455574562666511,2.28042264401588,0.0225826338857896,0.249054686355477,Het-Tx,4,2.51945127437117
GALNT3,57.2686733695887,-1.6669206249013,0.732909247579866,-2.27438885565385,0.0229426169074556,0.250853355953474,Tx-ReprPCWk,-2,-1.8334603124506499
BIN2,216.413710532621,-0.935907941154419,0.411712072853641,-2.27320985432245,0.0230135367432128,0.251492626909731,Tx-ReprPCWk,-2,-1.4679539705772096
FCAMR,411.688502978971,-2.01232691574037,0.886235650120314,-2.2706454152089,0.0231684518491765,0.252094226882607,Tx-ReprPCWk,-2,-2.0061634578701852
ATP11C,2338.52183702127,-1.12861314859114,0.497390647761505,-2.26906789194859,0.0232641975573076,0.252591650360122,Tx-Het,-4,-2.56430657429557
SPIRE2,503.852602707457,1.18540851347497,0.522637448647838,2.2681277748884,0.0233214199404078,0.252773138071908,ReprPCWk-Tx,2,1.592704256737485
FBXO31,3608.92571340843,1.30615551953712,0.576876391382739,2.26418612210207,0.0235626697787482,0.25363796701295,ReprPC-Tx,3,2.1530777597685598
RASSF5,792.709846588573,-0.649723222707976,0.287579629716886,-2.25928110189032,0.0238659046930221,0.254508603536528,Tx-ReprPCWk,-2,-1.324861611353988
FOXRED2,1886.61049155954,1.30792352111881,0.579376636010038,2.25746680108818,0.0239789216870274,0.25513926420944,Het-Tx,4,2.653961760559405
DMGDH,9345.82431958435,-0.989744883897325,0.439196103703493,-2.25353748713016,0.0242252798539027,0.256530178161219,Tx-Het,-4,-2.4948724419486625
CD27,33.8134590382127,-1.59278831860721,0.706851411703826,-2.25335663512064,0.0242366714499434,0.256530178161219,Tx-ReprPCWk,-2,-1.796394159303605
ARHGAP10,528.459638342008,-1.67165944891163,0.743546490954001,-2.24822451487441,0.0245618772326462,0.257944415347525,Tx-Het,-4,-2.835829724455815
MYO7A,2249.00585844826,1.43142648409813,0.638302104687136,2.24255328877499,0.0249256353086076,0.258845728943133,ReprPCWk-Tx,2,1.7157132420490648
CCL23,55.568105206471,-1.26748813888764,0.567126473804661,-2.2349302976186,0.0254219251257492,0.261614612044192,Tx-Het,-4,-2.63374406944382
CCER2,8.2604160521543,1.83578985848708,0.821985129720143,2.23336139804877,0.0255251216284245,0.261797781252429,ReprPCWk-Tx,2,1.9178949292435399
TLCD4,8425.32391054118,-1.01770639667882,0.457118811160747,-2.22634985004137,0.0259907568383154,0.264129551216984,Tx-Het,-4,-2.50885319833941
PBK,70.5101026024151,1.77145013865278,0.796208844894216,2.22485614171761,0.0260908970961981,0.264634208707491,ReprPCWk-Tx,2,1.8857250693263898
NT5DC1,2034.18789608885,-0.735146356383923,0.331650209408711,-2.21663166652176,0.0266482718115455,0.266945361723294,Tx-Het,-4,-2.3675731781919613
TPPP2,170.824075500881,-1.71716830091292,0.775861272099904,-2.21324141655546,0.0268810061233952,0.267585391642219,Tx-ReprPCWk,-2,-1.85858415045646
CPEB3,2018.03202729194,-1.40235586237892,0.63547887665276,-2.20677022305685,0.0273301163718372,0.268945777907505,Tx-Het,-4,-2.70117793118946
TMEM150B,126.86078872863,1.53585130317592,0.696200425477051,2.20604763653156,0.0273806644901129,0.268945777907505,Het-Tx,4,2.76792565158796
TANGO6,1157.33980102731,-0.818625669019213,0.372392143991587,-2.19828930934082,0.0279284957568096,0.270901043135816,Tx-Het,-4,-2.4093128345096066
IQSEC1,4541.77289959569,1.05991273502778,0.482996807566808,2.19445080883102,0.0282030166451093,0.271642212391633,ReprPCWk-Tx,2,1.5299563675138899
PAQR4,87.966793619873,1.54892682509671,0.705775883684342,2.19464402355446,0.0281891429917534,0.271642212391633,ReprPCWk-Tx,2,1.774463412548355
ZNF311,22.0709309317775,-1.59638890281476,0.72839305192583,-2.19165860876075,0.0284041665703425,0.27315340185146,Tx-ReprPCWk,-2,-1.79819445140738
PLAAT3,2207.8385074163,-0.866807380370954,0.396754323168973,-2.18474589879085,0.0289074827996123,0.27459091803808,Tx-Het,-4,-2.433403690185477
ARHGAP20,70.6970637399828,-1.84584138945021,0.849059472150696,-2.17398362540451,0.0297063649614264,0.278385169557311,Tx-ReprPCWk,-2,-1.922920694725105
COQ8A,17.8530309434414,1.27332668197681,0.593934729877143,2.14388318770347,0.0320422476171571,0.287634519079371,Het-Tx,4,2.636663340988405
HCK,379.333357458558,-0.850704719109066,0.397179901067486,-2.1418624578501,0.03220455165123,0.288157253255024,Tx-ReprPC,-3,-1.925352359554533
DBNDD1,1258.16967349997,1.96682999842226,0.919141003415879,2.13985666085266,0.032366352489792,0.288964849041269,ReprPCWk-Tx,2,1.98341499921113
ASAP2,261.814773616041,1.73725979812532,0.812382109190316,2.13847619054144,0.032478114528678,0.289337496390269,ReprPCWk-Tx,2,1.86862989906266
ZNF347,85.5492340746438,-0.981132772212431,0.459444400631152,-2.13547661232702,0.0327220985841926,0.290384360804625,Tx-Het,-4,-2.4905663861062157
KIF23,68.7218392056156,1.42110842047689,0.667861450362602,2.12784915150489,0.0333495926395113,0.292305261015938,ReprPCWk-Tx,2,1.710554210238445
SUCLG2,9167.71039602617,-0.606837874136551,0.285568414453551,-2.12501748590706,0.0335851538654633,0.292728606954265,Tx-Het,-4,-2.3034189370682756
KCNE1,11.7065155997028,-1.7817058060479,0.838419843995437,-2.12507590177886,0.033580280013643,0.292728606954265,Tx-ReprPCWk,-2,-1.89085290302395
SEC61A2,229.976822263764,-1.04743683463107,0.492951867463512,-2.1248257766436,0.0336011531284013,0.292740169360461,Tx-ReprPC,-3,-2.023718417315535
METTL24,23.7613433333748,-2.01523300519137,0.950346826361887,-2.12052373858718,0.0339619017740904,0.293982257320083,Tx-ReprPCWk,-2,-2.0076165025956847
AGAP3,2281.11818606219,0.608504397166204,0.288074982810132,2.11231253484883,0.0346596514215234,0.297725078884587,ReprPCWk-Tx,2,1.304252198583102
SLC9A9,219.078147733681,-1.10484313703355,0.523511361020099,-2.11044729742003,0.0348198461623256,0.298207948517963,Tx-ReprPCWk,-2,-1.552421568516775
KLF4,559.539886192591,-1.05092998267451,0.500474907872323,-2.09986548005442,0.0357406761390418,0.301874928744437,Tx-ReprPCWk,-2,-1.5254649913372549
BHMT,27747.3788488467,-1.78066208366571,0.858251166005926,-2.07475638157584,0.0380091190058341,0.309015361643647,Tx-ReprPCWk,-2,-1.8903310418328552
PTK2,2723.73921826786,0.609622006385828,0.293914634124611,2.07414648883174,0.0380657081649841,0.309045264326585,Het-Tx,4,2.304811003192914
LIPG,2920.23201283009,-1.28585440802425,0.620578733485462,-2.0720246096773,0.0382631461998085,0.309296226719304,Tx-ReprPCWk,-2,-1.642927204012125
CDCP1,66.803339060387,-1.37014786115799,0.665131843230203,-2.05996431399808,0.0394019524955947,0.313030067131603,Tx-Het,-4,-2.6850739305789952
ZNF250,201.250430552288,0.67391429275248,0.327775030408728,2.05602693991707,0.0397799195522627,0.314056088881136,Het-Tx,4,2.33695714637624
NCAPG,80.3156076042552,1.63059925056412,0.793785473840732,2.05420646295587,0.0399557131517304,0.314460837011969,Het-Tx,4,2.81529962528206
A1BG,90.0767067210953,-1.11044744982415,0.541806015387919,-2.04952957015269,0.0404103593961872,0.316034999687236,Tx-Het,-4,-2.555223724912075
TXNRD2,4849.36065300844,1.29330895828687,0.633109463749932,2.04278885775384,0.0410733440289834,0.317683657919386,ReprPCWk-Tx,2,1.646654479143435
PBX1,424.199638994052,-1.31492375890309,0.643889973756542,-2.04215597772341,0.041136061671661,0.317683657919386,Tx-ReprPCWk,-2,-1.657461879451545
KCNN2,374.497310356086,-2.8624931581943,1.40924210170286,-2.03122881067447,0.0422317890699114,0.321890001484102,Tx-Het,-4,-3.43124657909715
TAFA5,635.640505560106,2.85567222087108,1.41083810318549,2.02409632573953,0.0429602416042636,0.324589819509775,ReprPCWk-Tx,2,2.42783611043554
SLC13A3,3346.8556929628,1.99929362830224,0.993892664743544,2.01157901574625,0.0442643332655689,0.32899327393542,ReprPCWk-Tx,2,1.9996468141511201
VAV1,190.7092300741,-0.728367005334615,0.362561987465251,-2.00894476121666,0.0445429922082841,0.32974550133662,Tx-ReprPCWk,-2,-1.3641835026673075
GPRIN1,110.331225133966,1.95788257024765,0.975461474893501,2.00713469536191,0.044735322813523,0.330442518002596,ReprPCWk-Tx,2,1.9789412851238248
RBM33,958.994696491289,0.422336817653272,0.210901536212051,2.00253077923829,0.0452276761947491,0.331532820599985,Het-Tx,4,2.211168408826636
CYP39A1,2279.3547352552,-1.83398940317163,0.917161539507085,-1.99963618639883,0.0455395634873987,0.332973021226653,Tx-Het,-4,-2.916994701585815
IYD,1924.520393775,-1.38940991511609,0.698389429138766,-1.98944866165783,0.0466517030486571,0.336235240209718,Tx-ReprPCWk,-2,-1.694704957558045
PDSS2,1502.43726299676,-0.587585721484083,0.295623024038541,-1.98761826280309,0.0468539249407152,0.337091205620856,Tx-Het,-4,-2.2937928607420415
RHOH,91.8423937883981,-1.15358679677773,0.584009477723696,-1.97528780059201,0.0482354968686492,0.340685695809596,Tx-ReprPCWk,-2,-1.576793398388865
ZNF473,202.844090155743,0.625241383073393,0.318585115934768,1.96255679189173,0.049697695503264,0.345132379879098,Het-Tx,4,2.3126206915366967
CNTN3,116.726416358714,-2.27491196725481,1.16374822594115,-1.95481455227571,0.0506049629093115,0.34732493485749,Tx-Het,-4,-3.137455983627405
ING5,811.590542703536,0.879755559162921,0.450076985442838,1.95467794981189,0.0506210943012004,0.34732493485749,Het-Tx,4,2.4398777795814603
SVOP,34.2480998046654,-1.0091139549382,0.516548014117242,-1.9535724218449,0.0507518047376635,0.347906550128009,Tx-ReprPCWk,-2,-1.5045569774690999
SLC25A43,761.616416550081,0.639500530573862,0.327524315240823,1.95252841030642,0.0508755013177121,0.348399711465309,ReprPCWk-Tx,2,1.319750265286931
LARP1B,1675.70330062431,-0.613978124250751,0.315860231203923,-1.94382851525984,0.0519161338825027,0.350583205078716,Tx-Het,-4,-2.3069890621253757
TBX3,4267.46326938842,2.00171760235896,1.03308241139283,1.93761657374478,0.05267001890574,0.35243897097055,ReprPCWk-Tx,2,2.00085880117948
CD274,114.561007613215,-0.944515306994801,0.488308854762685,-1.93425799631225,0.0530814148559289,0.353555136218827,Tx-ReprPCWk,-2,-1.4722576534974006
ZNF83,141.246067730554,-1.00736158177932,0.524752094189375,-1.91969044608667,0.0548970117504707,0.358784838932284,Tx-Het,-4,-2.50368079088966
PCBP4,736.683619343665,0.830297024649145,0.432795003700199,1.91845334985498,0.0550535518974688,0.358915926981178,ReprPCWk-Tx,2,1.4151485123245724
MEGF8,1289.24891829978,0.92433254058474,0.484339616542978,1.90843884954581,0.0563345196558509,0.362590968351334,Het-Tx,4,2.46216627029237
RCSD1,459.654435441095,-0.860111892696427,0.450934240382799,-1.90739982833478,0.0564688316045666,0.362731931452656,Tx-ReprPCWk,-2,-1.4300559463482134
TESK2,248.888501488111,-0.851676721874358,0.450486060869897,-1.8905728630754,0.0586813855892417,0.369145820335761,Tx-Het,-4,-2.425838360937179
PRAP1,162.690872843048,1.60028104712904,0.847509372554421,1.88821634185088,0.0589969128279095,0.369921155271852,ReprPCWk-Tx,2,1.80014052356452
ADGRE5,1117.33593176495,-0.731170718787122,0.388690931680163,-1.88111082403324,0.0599568449002878,0.371766733539848,Tx-ReprPCWk,-2,-1.365585359393561
PACSIN3,1934.03978399676,1.17039807735838,0.6227373211311,1.8794410382094,0.0601842972583436,0.371766733539848,ReprPCWk-Tx,2,1.5851990386791899
DMWD,413.404677717934,0.348735624232062,0.185500944522003,1.87996683860926,0.0601125975341253,0.371766733539848,ReprPC-Tx,3,1.674367812116031
AKAP7,724.757862759682,-0.745932010414239,0.399265374292135,-1.86826120781627,0.061725670920503,0.376487443140911,Tx-Het,-4,-2.3729660052071195
DLG2,101.358145889419,-0.880533694355749,0.473934126429284,-1.85792422459608,0.0631797757632169,0.38109784096122,Tx-ReprPCWk,-2,-1.4402668471778746
KATNIP,371.714909508821,0.703984783126892,0.380493777046971,1.85018737649417,0.0642865477446923,0.383875467683046,Het-Tx,4,2.351992391563446
PIF1,24.0813011585443,1.0626999667105,0.575175663999143,1.84760940565817,0.0646588680641523,0.384570861637037,ReprPCWk-Tx,2,1.53134998335525
TLE4,331.149353924006,-0.609125957143452,0.330656581207606,-1.84217097666357,0.0654501443638928,0.386255308424552,Tx-Het,-4,-2.304562978571726
BAIAP2L2,357.091428329851,1.98350196913511,1.08787166027174,1.82328673645166,0.0682599740994908,0.394988589380865,ReprPC-Tx,3,2.491750984567555
GARNL3,170.231867650883,-0.861355520074215,0.473419948372477,-1.81943224622322,0.0688455108356813,0.395505556147657,Tx-ReprPCWk,-2,-1.4306777600371074
CDO1,11882.873345646,-0.54170545277748,0.299008838756394,-1.81167036743959,0.0700371449301821,0.398277092525057,Tx-ReprPCWk,-2,-1.27085272638874
DPYS,18720.0192940789,-1.10150385207557,0.609623771234032,-1.80685843310515,0.0707843550544733,0.399542660354871,Tx-Het,-4,-2.550751926037785
GNB5,1125.9836842716,1.07707007250447,0.59649649614411,1.80566035084346,0.0709714095004243,0.399857458034287,ReprPCWk-Tx,2,1.538535036252235
DIS3L2,774.277324652783,0.434819149937326,0.242008540590065,1.79670993791025,0.0723816804451725,0.404244479145536,Het-Tx,4,2.217409574968663
CDC45,80.8870834379881,1.43794540941405,0.804629005395637,1.78709119329722,0.0739227506456033,0.406776552939498,Het-Tx,4,2.718972704707025
NTF3,176.137222689609,-1.71911419290652,0.964046445647883,-1.7832275619783,0.0745492675662242,0.408145577759446,Tx-ReprPCWk,-2,-1.85955709645326
REXO5,131.645733875528,0.84658764624745,0.477912374793356,1.77142859423447,0.0764894571073451,0.412269172114435,Het-Tx,4,2.423293823123725
HABP2,22115.9294258251,-1.04167949521848,0.587991713480784,-1.77158873388191,0.0764628511963933,0.412269172114435,Tx-ReprPCWk,-2,-1.52083974760924
ZDHHC21,218.566985012681,-0.698636669336034,0.395855595922974,-1.76487758801817,0.0775843411181336,0.413672909216944,Tx-Het,-4,-2.349318334668017
ERBB3,6502.2411607142,0.647367232360073,0.367613718451716,1.76099856960344,0.0782386451008129,0.415687828942625,ReprPC-Tx,3,1.8236836161800365
SCML2,74.9363465298459,0.813096693237958,0.463262764097365,1.75515227264643,0.0792332651188301,0.417890491056681,ReprPCWk-Tx,2,1.406548346618979
SLC2A10,1973.09426392062,-0.522480164251428,0.305575974031265,-1.70982082576286,0.0872990107135039,0.435524585316011,Tx-Het,-4,-2.261240082125714
